NOMBRE DISTRITO;N¼ DISTRITO;Recien plantado y no consolidado (RPLyNC);Altura Media (Hmedia)_RPLyNC;Joven (J);Hmedia_J;Maduro (M);Hmedia_M;Viejo (V);Hmedia_V;Otros (O);Hmedia_O;N¼ Total ‡rboles;N¼ Total (con tocones);NOMBRE DISTRITO
CENTRO;1;2115;4,09;4297;5,76;4890;10,54;341;17,92;74;6,71;11.717;11.811;CENTRO
ARGANZUELA;2;1984;4,28;5888;5,08;14765;9,77;409;15,42;133;5,33;23.179;23.683;ARGANZUELA
RETIRO;3;1297;4,49;4471;5,74;7703;10,77;648;16,41;13;5,35;14.132;14.673;RETIRO
SALAMANCA;4;1792;4,51;6176;6,64;10513;11,46;505;17,30;57;8,51;19.043;19.830;SALAMANCA
CHAMARTIN;5;2096;4,52;6821;5,20;15489;10,52;267;13,43;123;5,83;24.796;25.752;CHAMARTIN
TETUAN;6;1622;4,24;4083;4,81;9033;10,17;69;16,80;43;4,88;14.850;14.988;TETUAN
CHAMBERI;7;2110;4,13;4063;5,77;6072;10,87;1336;16,45;8;8,00;13.589;13.638;CHAMBERI
FUENCARRAL - EL PARDO;8;8106;4,37;19392;5,60;21812;9,75;4285;14,24;517;4,51;54.112;56.932;FUENCARRAL - EL PARDO
MONCLOA - ARAVACA;9;3786;5,14;8728;5,56;15810;10,49;2162;16,18;226;5,55;30.712;31.668;MONCLOA - ARAVACA
LATINA;10;3606;4,30;9125;4,90;18506;8,73;2014;13,62;360;4,88;33.611;35.800;LATINA
CARABANCHEL;11;2638;3,70;14049;6,13;23063;9,73;362;11,34;57;5,86;40.169;41.522;CARABANCHEL
USERA;12;1737;3,67;8847;5,64;19031;9,55;172;12,52;68;6,40;29.855;30.937;USERA
PUENTE DE VALLECAS;13;2955;4,17;19547;5,87;20028;10,01;238;9,03;159;7,11;42.927;44.929;PUENTE DE VALLECAS
MORATALAZ;14;1473;4,31;9599;5,58;11572;11,01;347;11,78;158;9,38;23.149;24.781;MORATALAZ
CIUDAD LINEAL;15;3601;4,07;22491;5,56;9826;10,84;781;13,46;364;5,44;37.063;39.902;CIUDAD LINEAL
HORTALEZA;16;5590;4,27;36873;5,44;7836;10,47;252;12,36;395;4,89;50.946;54.156;HORTALEZA
VILLAVERDE;17;2252;3,51;16515;5,31;19085;10,38;203;14,07;75;6,50;38.130;38.787;VILLAVERDE
VILLA DE VALLECAS;18;2265;4,28;27592;5,01;4717;10,43;90;14,15;78;4,15;34.742;35.973;VILLA DE VALLECAS
VICALVARO;19;1524;4,13;24015;4,94;5181;8,96;51;5,91;76;4,36;30.847;31.492;VICALVARO
SAN BLAS - CANILLEJAS;20;6840;3,36;25562;5,91;11111;10,60;358;11,75;367;4,65;44.238;47.130;SAN BLAS - CANILLEJAS
BARAJAS;21;2008;4,38;12181;5,78;2341;11,36;99;10,22;189;5,14;16.818;17.476;BARAJAS
;;;;;;;;;;;;;;
