ID de canal,URL del canal,Títol del canal
UC-6q_L7XtLFJtGqaNy6Gc8Q,http://www.youtube.com/channel/UC-6q_L7XtLFJtGqaNy6Gc8Q,MondoXbox
UC-Gh7ndBnNZvGRjCzlt2Ecw,http://www.youtube.com/channel/UC-Gh7ndBnNZvGRjCzlt2Ecw,El Canserbero
UC2zQI2kby8otf0OifO2K5ew,http://www.youtube.com/channel/UC2zQI2kby8otf0OifO2K5ew,Canal USB
UC3DvpXYedFaUs7AoUWJ63ew,http://www.youtube.com/channel/UC3DvpXYedFaUs7AoUWJ63ew,Alfonso Salazar Moreno
UC3tYrsSuVjtABL-RGBGT8OA,http://www.youtube.com/channel/UC3tYrsSuVjtABL-RGBGT8OA,Profesor Luis Paredes
UC44cfrGkMBjlIr-Zy8qHGfA,http://www.youtube.com/channel/UC44cfrGkMBjlIr-Zy8qHGfA,Clases_FI_VDPM
UC4STOuaIY9iqh7Lzrq_EVYQ,http://www.youtube.com/channel/UC4STOuaIY9iqh7Lzrq_EVYQ,AlexWhite
UC4f8YROk5Wb9uMvSWU2bQcQ,http://www.youtube.com/channel/UC4f8YROk5Wb9uMvSWU2bQcQ,Or x1 Math
UC5Rup8Tq90zOekekkNlSdRQ,http://www.youtube.com/channel/UC5Rup8Tq90zOekekkNlSdRQ,Andres Farall
UC5Zd7VZ3V4b0ChUjfnBBFVA,http://www.youtube.com/channel/UC5Zd7VZ3V4b0ChUjfnBBFVA,RottenMind
UC6fgLAL5sxXr1dpJhcJ_24Q,http://www.youtube.com/channel/UC6fgLAL5sxXr1dpJhcJ_24Q,Hekate Academy
UC7CGXonKyB5YA7Sz1qi04Wg,http://www.youtube.com/channel/UC7CGXonKyB5YA7Sz1qi04Wg,Edgar Sánchez Santos
UC7HbAR-J4Kh6Yq6Y0OOFb2g,http://www.youtube.com/channel/UC7HbAR-J4Kh6Yq6Y0OOFb2g,Gauss Online
UC9eM3jqq5IfxbGHbuRR_jRw,http://www.youtube.com/channel/UC9eM3jqq5IfxbGHbuRR_jRw,Sfdx Show
UC9w-EGphh2T4dkI935w-bug,http://www.youtube.com/channel/UC9w-EGphh2T4dkI935w-bug,21 temas editorial cid
UCA9RiOsIw77rRfnOYh-XD2w,http://www.youtube.com/channel/UCA9RiOsIw77rRfnOYh-XD2w,Dr. Salomón Guzman. Prof de matemáticas avanzadas
UCD9YPXuAA3L-Ogo-NGBRYVA,http://www.youtube.com/channel/UCD9YPXuAA3L-Ogo-NGBRYVA,The probability channel - Professor Lanchier
UCE5xZapml0LpCcUso6_hMOQ,http://www.youtube.com/channel/UCE5xZapml0LpCcUso6_hMOQ,Leonardo Ignacio Martinez Sandoval
