Company,EMP_ID,Job Classification,Job Title,Region,Job Location,Division, Org/department of the employee,Division Revenue / year, Average tenure in the company, Total years of experience,Pay Grade, Total CTC ,Compa-ratio,Join year,Left year,Impact-Leaving,Reason-Leaving,Skill Level (out of 10), Input - avergage cost of rehire,Cost to train/year,Average courses/year, # of tickets/year, # of re-opens for a tickets/ year,customer satisfaction score ( out of 10),avg ticket complexity(out of 10),avg duration to close(hrs), Average score of positive feedback from customer sentiment (out of 10), Average score of negative feedback from customer sentiment (out of 10),Overall_Performance_Rating,Overall_Performance_Rating_Description,newtoposition,Manager,future_leader,Gender,Married,exit_interview_overallscore(out of 10),rehire?,left
Amazing R & D,234687,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",9,4,Z1-Z12,"$40,343 ",0.72,2008,2017,High,Marriage,7,8113,1057,1,147,51,7,9,1,9,4,4,Outstanding,No,No,No,M,NO,7,No,0
Nikey R & D ,304289,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z13,"$37,877 ",0.82,2016,2019,Low, Resignation to Competitor,4,5723,1023,3,156,53,5,6,2,4,6,4,Outstanding,No,No,Yes,F,NO,3,No,1
Alphabet-Soup Research & Development,304692,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z14,"$43,897 ",0.67,2014,2018,Med, Terminaton - School,5,8232,1094,2,175,78,6,6,2,9,4,3,Successful,No,No,yes,F,NO,2,No,1
Netflex R & D,815260,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z15,"$39,996 ",0.67,2014,2019,Med,Personal,6,7719,1098,1,137,65,7,9,1,5,9,3,Successful,No,No,No,F,NO,7,No,0
Amazing R & D,463731,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z16,"$39,000 ",0.78,2013,2017,Low,Inv Elimination of Position,8,5245,948,1,159,54,9,8,2,7,8,1,Insufficient,No,No,No,F,NO,3,No,1
Nikey R & D ,713946,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z17,"$39,000 ",0.78,2016,2018,High,Compensation,6,7955,1300,1,110,77,6,7,2,8,5,1,Successful,No,No,No,F,NO,4,No,0
Alphabet-Soup Research & Development,625487,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z18,"$48,000 ",0.78,2016,2018,High,Compensation,5,4773,969,1,80,74,4,4,1,5,7,1,Successful,No,Yes,No,M,NO,4,No,1
Netflex R & D,113649,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z19,"$48,000 ",0.78,2012,2017,High,Compensation,5,7209,890,1,101,79,6,8,2,8,6,1,Successful,No,yes,No,M,NO,2,No,0
Amazing R & D,681395,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z20,"$48,000 ",0.78,2015,2019,High,Compensation,5,4711,1273,1,128,62,6,9,1,4,8,1,Successful,Yes,No,No,M,NO,2,yes,0
Nikey R & D ,253990,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z21,"$48,000 ",0.78,2014,2019,High,Compensation,5,5437,1072,3,161,74,4,7,1,8,4,1,Successful,yes,No,Yes,F,NO,7,Yes,0
Alphabet-Soup Research & Development,335327,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z22,"$48,000 ",0.78,2015,2018,Low, Resignation to Competitor,8,5078,1011,1,174,65,7,9,2,6,9,1,Successful,no,No,yes,F,NO,5,No,1
Netflex R & D,577448,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z12,"$48,000 ",0.78,2012,2017,Med, Resignation to Competitor,6,5400,886,1,118,57,6,8,1,6,8,1,Successful,yes,No,No,F,NO,7,No,0
